class_hex,popcount,cluster_size,id_a,id_b,role_a,role_b
0x01991231,10,12,0x2a6e0410,0x4c2a8850,,
0x01991231,10,12,0x326e0410,0x542a8850,,
0x01991231,10,12,0x46269090,0x4aee0118,,Shriney Guard boss slamming down animation
0x01991231,10,12,0x492c8430,0x4a1ea052,,
0x01991231,10,12,0x492c8430,0x7a0ec210,,
0x01991231,10,12,0x4a3ea110,0x53af8200,Menu door opens to reveal monkey animation,
0x01991231,10,12,0x4a4ec094,0x4c2a8850,,
0x01991231,10,12,0x4baf8200,0x523ea110,Shriney Guard boss yelling animation,
0x01991231,10,12,0x512c8430,0x620ec210,,
0x01991231,10,12,0x524ec094,0x542a8850,,
0x01991231,10,12,0x52ee0118,0x5e269090,,
0x01991231,10,12,0x5e269090,0x92af8810,,
0x0040c685,8,10,0x2a6e0410,0x492c8430,,
0x0040c685,8,10,0x326e0410,0x512c8430,,
0x0040c685,8,10,0x46269090,0x4a4ec094,,
0x0040c685,8,10,0x4a1ea052,0x4c2a8850,,
0x0040c685,8,10,0x4a3ea110,0x52ee0118,Menu door opens to reveal monkey animation,
0x0040c685,8,10,0x4aee0118,0x523ea110,Shriney Guard boss slamming down animation,
0x0040c685,8,10,0x4baf8200,0x7a0ec210,Shriney Guard boss yelling animation,
0x0040c685,8,10,0x524ec094,0x5e269090,,
0x0040c685,8,10,0x53af8200,0x620ec210,,
0x0040c685,8,10,0x542a8850,0x92af8810,,
0x00000041,2,8,0x081d8300,0x085c8300,,
0x00000041,2,8,0x10b85810,0x10b95c10,,
0x00000041,2,8,0x10b95010,0x10bb5810,,
0x00000041,2,8,0x10b95a10,0x10b9d810,,
0x00000041,2,8,0x10b95a1c,0x10b9d81c,,
0x00000041,2,8,0x40c21c10,0x42ca1c10,,
0x00000041,2,8,0x40da1c10,0x44ca1c10,,
0x00000041,2,8,0x40ea1c10,0x48ca1c10,,
0x03087041,8,8,0x00000000,0x40c21c10,,
0x03087041,8,8,0x10f0e983,0x92f8f1c0,,
0x03087041,8,8,0x12800031,0x93043811,,
0x03087041,8,8,0x222222d8,0x262e0319,,
0x03087041,8,8,0x80b92212,0x88a16190,,
0x03087041,8,8,0x8818a018,0x98f8221e,,
0x03087041,8,8,0xb69c8356,0xbebce258,,
0x03087041,8,8,0xc48c7158,0xd89c319a,,
0x06184187,10,8,0x2a6e0410,0x4baf8200,,Shriney Guard boss yelling animation
0x06184187,10,8,0x326e0410,0x53af8200,,
0x06184187,10,8,0x46269090,0x4a1ea052,,
0x06184187,10,8,0x4a3ea110,0x524ec094,Menu door opens to reveal monkey animation,
0x06184187,10,8,0x4a4ec094,0x523ea110,,
0x06184187,10,8,0x4aee0118,0x7a0ec210,Shriney Guard boss slamming down animation,
0x06184187,10,8,0x512c8430,0x92af8810,,
0x06184187,10,8,0x52ee0118,0x620ec210,,
0x0002404d,6,7,0x052aa082,0x0538a2ea,,
0x0002404d,6,7,0x0628a800,0xa628e009,,
0x0002404d,6,7,0x0708a4a0,0xd70880a4,,
0x0002404d,6,7,0x112ae088,0x8139a088,,
0x0002404d,6,7,0x1b280c33,0x3da80d13,,
0x0002404d,6,7,0x2524e089,0x8524a880,,
0x0002404d,6,7,0x8569a090,0x9629a000,,
0x00000081,2,6,0x004a981c,0x024e981c,,
0x00000081,2,6,0x0408c01e,0x0428801e,,
0x00000081,2,6,0x10b85810,0x10b95a10,,
0x00000081,2,6,0x10b95c10,0x10bb5810,,
0x00000081,2,6,0x40c21c10,0x44ca1c10,,
0x00000081,2,6,0x40da1c10,0x48ca1c10,,
0x00000303,4,6,0x10b95010,0x10b95c1c,,
0x00000303,4,6,0x10b9501c,0x10b95c10,,
0x00000303,4,6,0x40da1c10,0x40ea2c10,,
0x00000303,4,6,0x40da2c10,0x40ea1c10,,
0x00000303,4,6,0x60a91d9c,0x60aa1e9c,,
0x00000303,4,6,0x61a91c9c,0x62aa1c9c,,
0x000a10c1,6,6,0x2a6e0410,0x4aee0118,,Shriney Guard boss slamming down animation
0x000a10c1,6,6,0x326e0410,0x52ee0118,,
0x000a10c1,6,6,0x4a1ea052,0x523ea110,,
0x000a10c1,6,6,0x4a4ec094,0x7a0ec210,,
0x000a10c1,6,6,0x524ec094,0x620ec210,,
0x000a10c1,6,6,0x53af8200,0x92af8810,,
0x016082a1,8,6,0x001822d8,0x40400270,,
0x016082a1,8,6,0x0120e27a,0x0462e0bb,,
0x016082a1,8,6,0x012484d2,0x04a68e56,,
0x016082a1,8,6,0x024e981c,0x404c5919,,
0x016082a1,8,6,0x1828e640,0x5870c6e8,,
0x016082a1,8,6,0x44d6c8cd,0x4cddccd8,,
0x00006097,7,5,0x082e03d8,0x262e0319,,
0x00006097,7,5,0x12800031,0xd2801814,,
0x00006097,7,5,0x8818a018,0x88783718,,
0x00006097,7,5,0xb7cce25e,0xbebce258,,
0x00006097,7,5,0xc48c7158,0xc89e9158,,
0x00055841,7,5,0x0120e27a,0x0478a37a,,
0x00055841,7,5,0x012484d2,0x83248e62,,
0x00055841,7,5,0x25d2c8d8,0x44d6c8cd,,
0x00055841,7,5,0x40400270,0x486002db,,
0x00055841,7,5,0x5050c643,0x5870c6e8,,
0x001a43c1,9,5,0x001822d8,0x486002db,,
0x001a43c1,9,5,0x0462e0bb,0x0478a37a,,
0x001a43c1,9,5,0x04a68e56,0x83248e62,,
0x001a43c1,9,5,0x1828e640,0x5050c643,,
0x001a43c1,9,5,0x25d2c8d8,0x4cddccd8,,
0x00249009,6,5,0x001822d8,0x401106da,,
0x00249009,6,5,0x0434ce72,0x04a68e56,,
0x00249009,6,5,0x0462e0bb,0x2470e0f2,,
0x00249009,6,5,0x04dce858,0x4cddccd8,,
0x00249009,6,5,0x1828e640,0x5821c242,,
0x00288255,8,5,0x0120e27a,0x2470e0f2,,
