container,kind,n_members,anchor,visual_role,dims_set,size_set,members
SCIE/stage3,sprite,4,,,48x34,7168;17248;18260;24520,0x400c989d;0x400c991d;0x400c9a1d;0x40189a1d
SEVN/stage0,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
SEVN/stage1,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
SEVN/stage2,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
SEVN/stage3,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
SNOW/stage1,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
SNOW/stage3,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
SNOW/stage4,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
WEED/stage0,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
WEED/stage1,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
WEED/stage2,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
BOIL/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
BOIL/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
BOIL/stage0,sprite,3,,,46x39,10568;17248;18260,0x400c989d;0x400c991d;0xe00e989d
BOIL/stage0,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
BOIL/stage1,sprite,3,,,46x39,10568;17248;18260,0x400c989d;0x400c991d;0xe00e989d
BOIL/stage1,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
BOIL/stage2,sprite,3,,,46x39,10568;17248;18260,0x400c989d;0x400c991d;0xe00e989d
BOIL/stage2,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
BOIL/stage3,sprite,3,,,46x39,10568;17248;18260,0x400c989d;0x400c991d;0xe00e989d
BOIL/stage3,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
BOIL/stage4,sprite,3,,,66x52,8596;17248;18260,0x400c989d;0x400c991d;0xe00e991d
BOIL/stage4,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
BRG1/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
BRG1/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
BRG1/secondary,audio,3,FX_SKULL_UP;FX_SKULL_LAND_02,,,2080;4640;5200,0x30004240;0x70204350;0x70404350
