id_hex,tokenA,tokenB,full,score,visual_label
0x08041001,THUBAN,PERRY,THUBANPERRY,0,
0x08041001,WISHER,POCUS,WISHERPOCUS,0,
0x08089081,BOBET,FINS,BOBETFINS,0,
0x08089081,BONSAI,CYTON,BONSAICYTON,0,
0x08089081,COINS,FORPET,COINSFORPET,0,
0x08089081,IDEAED,FJORD,IDEAEDFJORD,0,
0x08089081,LEAFY,BOYAUX,LEAFYBOYAUX,0,
0x08089081,RIGGOT,PUB,RIGGOTPUB,0,
0x08089081,SETONS,ATAKE,SETONSATAKE,0,
0x08089081,SETONS,IMPOT,SETONSIMPOT,0,
0x08089081,SOV,CAMIZE,SOVCAMIZE,0,
0x08089081,THUBAN,PINOT,THUBANPINOT,0,
0x080c8300,BYRES,REMOVE,BYRESREMOVE,0,
0x080c8300,BYWARD,DORIA,BYWARDDORIA,0,
0x080c8300,ESCROW,OLDER,ESCROWOLDER,0,
0x080c8300,IDEIST,CREWE,IDEISTCREWE,0,
0x080c8300,NEHRU,PERSIS,NEHRUPERSIS,0,
0x08148300,BLINTZ,ZEINS,BLINTZZEINS,0,
0x08148300,MOVENT,PEEOY,MOVENTPEEOY,0,
0x08148300,SHARKI,CHEER,SHARKICHEER,0,
0x08148300,SHREWS,FLINT,SHREWSFLINT,0,
0x08148300,SIRKI,UNMIND,SIRKIUNMIND,0,
0x08188300,ESCROW,VIGIL,ESCROWVIGIL,0,
0x08188300,RISERS,ATOMY,RISERSATOMY,0,
0x08208902,SHREWS,TUATH,SHREWSTUATH,0,
0x08208902,SOCAGE,HAULM,SOCAGEHAULM,0,
0x085860d4,BEDLAM,REXES,BEDLAMREXES,0,
0x085860d4,BEFOP,ALLODS,BEFOPALLODS,0,
0x085860d4,BEME,SPISS,BEMESPISS,0,
0x085860d4,BERRI,HIST,BERRIHIST,0,
0x085860d4,BIMANA,TIGHT,BIMANATIGHT,0,
0x085860d4,BRECK,DAYS,BRECKDAYS,0,
0x085860d4,BRENDA,PIS,BRENDAPIS,0,
0x085860d4,BVT,PITRIS,BVTPITRIS,0,
0x085860d4,DATCH,GIDJEE,DATCHGIDJEE,0,
0x085860d4,FAMES,VIZARD,FAMESVIZARD,0,
0x085860d4,GEL,ALONZO,GELALONZO,0,
0x085860d4,GELID,WEARER,GELIDWEARER,0,
0x085860d4,GLORE,RAPINE,GLORERAPINE,0,
0x085860d4,GLORE,SPINES,GLORESPINES,0,
0x085860d4,JAMMER,FEMES,JAMMERFEMES,0,
0x085860d4,KICKER,SPIRA,KICKERSPIRA,0,
0x085860d4,LYS,ACOINE,LYSACOINE,0,
0x085860d4,PICKEL,MONIE,PICKELMONIE,0,
0x085860d4,PICKEL,MOWER,PICKELMOWER,0,
0x085860d4,SANER,RAPINE,SANERRAPINE,0,
0x085860d4,SANER,SPINES,SANERSPINES,0,
0x085860d4,SAWNIE,ELDIN,SAWNIEELDIN,0,
0x085860d4,SOZIN,ASELAR,SOZINASELAR,0,
0x085860d4,SOZINE,ARISE,SOZINEARISE,0,
0x085860d4,TENUIS,SAV,TENUISSAV,0,
0x085860d4,TESLA,CITIED,TESLACITIED,0,
0x085860d4,THIBLE,SHOWS,THIBLESHOWS,0,
0x085860d4,THINE,SAMIEL,THINESAMIEL,0,
0x085860d4,THINE,SHOERS,THINESHOERS,0,
0x085860d4,THIS,SAVER,THISSAVER,0,
0x085860d4,TUYER,RAPIDO,TUYERRAPIDO,0,
0x085860d4,UREIC,ALONZO,UREICALONZO,0,
0x085860d4,WAMFLE,FEMES,WAMFLEFEMES,0,
0x085860d4,YEZDI,FINEER,YEZDIFINEER,0,
0x085c8300,IDEAED,FLINT,IDEAEDFLINT,0,
0x085c8300,MORIN,SAPIAO,MORINSAPIAO,0,
0x085c8300,MOVER,PILERS,MOVERPILERS,0,
0x085c8300,MULDER,SWEAL,MULDERSWEAL,0,
