id_hex,n_candidates,candidates,popcount,kinds
0x3080840d,135,12ZWRANGS;162MAINAN;162MAINOR;16HMAINAN;16HMAINOR;16USTRELTZI;1A1CANCERED;1AGCANCERED;1ASWARDWORD;1ASWORKBOOK;1HZWRANGS;1L2MAINAN;1L2MAINOR;1LHMAINAN;1LHMAINOR;1LUSTRELTZI;1SXAUROREAN;1T8WRANNY;1TNWRANNY;1Y6CYDONIAN,8,sprite|anim
0x30808e0d,13,15VSTROYERS;1KVSTROYERS;21QSTIBINES;2GQSTIBINES;8EUSTROYING;9YXSTIBINES;G5VSTROYERS;GKVSTROYERS;H1QSTIBINES;HGQSTIBINES;NEUSTROYING;OYXSTIBINES;RUASTROYERS,10,sprite|anim
0x30a0c119,772,0B5MARGARET;0BKMARGARET;0BRARENAE;0BXFLIRTY;0T8SEALET;0TNSEALET;0Y3SEALETTE;0YISEALETTE;0Z2RAREFIER;0ZHRAREFIER;10ADUSTRAGS;1FADUSTRAGS;1TEGARGLE;1Z6SCOUTHER;1ZLSCOUTHER;1ZYARENGA;224STOKER;22JSTOKER;248ALMA;24NALMA,10,sprite|anim
0x34014841,8,5VQMATURATE;A41MATURATE;A4GMATURATE;AJ1MATURATE;AJGMATURATE;AS5LURINGLY;ASKLURINGLY;KVQMATURATE,8,audio
0x344210b1,13,626VISORING;62LVISORING;6H6VISORING;6HLVISORING;6T4RUCKSACK;6TJRUCKSACK;L26VISORING;L2LVISORING;LH6VISORING;LHLVISORING;LT4RUCKSACK;LTJRUCKSACK;TXTVISORING,10,sprite|anim
0x3838801a,4,AW7VAVASSOR;AWMVAVASSOR;X3DVAVASSOR;XIDVAVASSOR,10,sprite|anim
0x38a0c119,2392,06TTURGENT;0BEMARTLET;0BRAREFIER;0BRARTEL;0BRRANQUEL;0LTTURGENT;0SBREGORGE;0TAMETEL;0TXIMPUTER;0UREGORGES;15USURGENT;1ADOFFENSE;1KUSURGENT;1S1LEILA;1SGLEILA;1T0APPEARS;1T0FARSE;1T6ARGLE;1TFAPPEARS;1TFFARSE,11,sprite|anim
0x39900619,8,8A6WANGLED;8ALWANGLED;96SDANGLED;9LSDANGLED;NA6WANGLED;NALWANGLED;O6SDANGLED;OLSDANGLED,11,sprite|anim
0x40106054,11,1U1BOGGING;1UGBOGGING;CDTGRECOUE;CXADEFINER;EWDCHIGGER;GU1BOGGING;GUGBOGGING;T25TECHNIC;T2KTECHNIC;TH5TECHNIC;THKTECHNIC,7,sprite|anim
0x40815801,21,31DAMANORI;3GDAMANORI;3RUEMANANT;C89TAMPING;C8CLUMPING;C8OTAMPING;CN9TAMPING;CNCLUMPING;CNOTAMPING;CQAMOORING;I1DAMANORI;IGDAMANORI;IRUEMANANT;PY5AMANORI;PYKAMANORI;QRQLUMPING;RBAMORMYRE;T9RMOORING;TAMOORINGS;TORMOORING,7,audio
0x408a2c10,8,BRDHENHUSSY;P06ALLYLENE;P0LALLYLENE;PF6ALLYLENE;PFLALLYLENE;T8VHENHUSSY;TNVHENHUSSY;VZRALLYLENE,8,sprite|anim
0x408a6461,17,935GLEEKING;93KGLEEKING;93RLEECHING;9I5GLEEKING;9IKGLEEKING;9IRLEECHING;O35GLEEKING;O3KGLEEKING;O3RLEECHING;OI5GLEEKING;OIKGLEEKING;OIRLEECHING;T6CFORESTEP;TLCFORESTEP;V4BALEURONS;VJBALEURONS;XWTGLEEKING,10,audio
0x40b18011,33,51APREAGING;5GAPREAGING;CVBWAMMUSES;CVYABETMENT;K1APREAGING;KGAPREAGING;R8STRIAREAL;RNSTRIAREAL;RY2PREAGING;RYHPREAGING;S04REFRIG;S0BLYCOPENE;S0JREFRIG;S1XPARFEY;SB0SKILLION;SBFSKILLION;SF4REFRIG;SFBLYCOPENE;SFJREFRIG;SGXPARFEY,8,sprite|anim
0x40b28011,23,9DCCAULERPA;BASOVERSTAY;CWXBEZANTEE;ODCCAULERPA;RA0ILLAENUS;RAFILLAENUS;S13VITUPERY;S1IVITUPERY;S7RHIVITE;SCESKILLION;SG3VITUPERY;SGIVITUPERY;SMRHIVITE;VC1SPOUSAGE;VCGSPOUSAGE;VEXFIXION;Z39BEZANTEE;Z3OBEZANTEE;Z3SOVERSNOW;ZI9BEZANTEE,8,sprite|anim
