id_hex,id_dec,kinds,popcount,n_builds,beta,demo_eu,demo_jp,pal_d1,pal_d2,pal_d3,jp,us
0x40110e26,1074859558,audio,9,8,1,1,1,1,1,1,1,1
0x40189a1d,1075354141,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x402044c9,1075856585,audio,8,8,1,1,1,1,1,1,1,1
0x40400270,1077936752,audio,6,6,1,0,0,1,1,1,1,1
0x40489938,1078499640,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x404c5919,1078745369,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x407801d0,1081606608,sprite|anim,9,6,1,0,0,1,1,1,1,1
0x407801dc,1081606620,sprite|anim,11,6,1,0,0,1,1,1,1,1
0x40784034,1081622580,audio,9,6,1,0,0,1,1,1,1,1
0x40815801,1082218497,audio,7,6,1,0,0,1,1,1,1,1
0x40864668,1082541672,audio,10,6,1,0,0,1,1,1,1,1
0x408a1c10,1082792976,sprite|anim,8,6,1,0,0,1,1,1,1,1
0x408a2c10,1082797072,sprite|anim,8,6,1,0,0,1,1,1,1,1
0x408a6461,1082811489,audio,10,8,1,1,1,1,1,1,1,1
0x40b18011,1085374481,sprite|anim,8,5,1,0,0,1,1,1,0,1
0x40b28011,1085440017,sprite|anim,8,5,1,0,0,1,1,1,0,1
0x40b48011,1085571089,sprite|anim,8,5,1,0,0,1,1,1,0,1
0x40c0d0e4,1086378212,audio,10,6,1,0,0,1,1,1,1,1
0x40c21c10,1086462992,sprite|anim,8,6,1,0,0,1,1,1,1,1
0x40c22c10,1086467088,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x40da1c10,1088035856,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x40da2c10,1088039952,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x40e0824c,1088455244,audio,9,8,1,1,1,1,1,1,1,1
0x40e28045,1088585797,audio,9,8,1,1,1,1,1,1,1,1
0x40e9a362,1089053538,audio,13,8,1,1,1,1,1,1,1,1
0x40ea1c10,1089084432,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x40ea2c10,1089088528,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x40f8c274,1090044532,audio,13,6,1,0,0,1,1,1,1,1
0x410800f9,1091043577,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x410808f9,1091045625,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x410818f9,1091049721,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x412e8311,1093567249,audio,11,6,1,0,0,1,1,1,1,1
0x4148c374,1095287668,audio,12,6,1,0,0,1,1,1,1,1
0x41ca1c10,1103764496,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x421586c2,1108707010,audio,11,6,1,0,0,1,1,1,1,1
0x421d1000,1109200896,audio,7,5,1,0,0,1,1,1,0,1
0x422a0225,1110049317,sprite|anim,9,6,1,0,0,1,1,1,1,1
0x424129a1,1111566753,audio,10,6,1,0,0,1,1,1,1,1
0x42464cc8,1111903432,audio,11,8,1,1,1,1,1,1,1,1
0x424d1840,1112348736,sprite|anim,9,6,1,0,0,1,1,1,1,1
